0,Hôtel-Dieu Grace Healthcare,1453 PRINCE RD,H-001,83.06450273,42.28428054
1,Windsor Regional Hospital - Metropolitan Campus,1995 LENS AVE,H-002,82.99720909,42.30035338
2,Windsor Regional Hospital - Ouellette Campus,1004 OUELLETTE AVE,H-003,83.03194994,42.3084117
